PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,PRC,RET
11850,20060810,XOM,EXXON MOBIL CORP,20678,30231G10,69.34000,0.005340
11850,20060811,XOM,EXXON MOBIL CORP,20678,30231G10,69.73000,0.005625
11850,20060814,XOM,EXXON MOBIL CORP,20678,30231G10,69.25000,-0.006884
11850,20060815,XOM,EXXON MOBIL CORP,20678,30231G10,68.69000,-0.008087
11850,20060816,XOM,EXXON MOBIL CORP,20678,30231G10,67.57000,-0.016305
11850,20060817,XOM,EXXON MOBIL CORP,20678,30231G10,68.08000,0.007548
11850,20060818,XOM,EXXON MOBIL CORP,20678,30231G10,69.10000,0.014982
11850,20060821,XOM,EXXON MOBIL CORP,20678,30231G10,69.83000,0.010564
11850,20060822,XOM,EXXON MOBIL CORP,20678,30231G10,70.21000,0.005442
11850,20060823,XOM,EXXON MOBIL CORP,20678,30231G10,69.63000,-0.008261
11850,20060824,XOM,EXXON MOBIL CORP,20678,30231G10,70.72000,0.015654
11850,20060825,XOM,EXXON MOBIL CORP,20678,30231G10,70.43000,-0.004101
11850,20060828,XOM,EXXON MOBIL CORP,20678,30231G10,70.10000,-0.004686
11850,20060829,XOM,EXXON MOBIL CORP,20678,30231G10,69.41000,-0.009843
11850,20060830,XOM,EXXON MOBIL CORP,20678,30231G10,68.30000,-0.015992
11850,20060831,XOM,EXXON MOBIL CORP,20678,30231G10,67.67000,-0.009224
11850,20060901,XOM,EXXON MOBIL CORP,20678,30231G10,68.10000,0.006354
11850,20060905,XOM,EXXON MOBIL CORP,20678,30231G10,68.48000,0.005580
11850,20060906,XOM,EXXON MOBIL CORP,20678,30231G10,67.18000,-0.018984
11850,20060907,XOM,EXXON MOBIL CORP,20678,30231G10,67.69000,0.007592
11850,20060908,XOM,EXXON MOBIL CORP,20678,30231G10,66.81000,-0.013001
11850,20060911,XOM,EXXON MOBIL CORP,20678,30231G10,64.94000,-0.027990
11850,20060912,XOM,EXXON MOBIL CORP,20678,30231G10,64.70000,-0.003696
11850,20060913,XOM,EXXON MOBIL CORP,20678,30231G10,65.36000,0.010201
11850,20060914,XOM,EXXON MOBIL CORP,20678,30231G10,64.71000,-0.009945
11850,20060915,XOM,EXXON MOBIL CORP,20678,30231G10,64.65000,-0.000927
11850,20060918,XOM,EXXON MOBIL CORP,20678,30231G10,66.30000,0.025522
11850,20060919,XOM,EXXON MOBIL CORP,20678,30231G10,65.50000,-0.012066
11850,20060920,XOM,EXXON MOBIL CORP,20678,30231G10,64.11000,-0.021221
11850,20060921,XOM,EXXON MOBIL CORP,20678,30231G10,64.78000,0.010451
11850,20060922,XOM,EXXON MOBIL CORP,20678,30231G10,64.91000,0.002007
11850,20060925,XOM,EXXON MOBIL CORP,20678,30231G10,65.06000,0.002311
11850,20060926,XOM,EXXON MOBIL CORP,20678,30231G10,66.43000,0.021058
11850,20060927,XOM,EXXON MOBIL CORP,20678,30231G10,67.13000,0.010537
11850,20060928,XOM,EXXON MOBIL CORP,20678,30231G10,67.46000,0.004916
11850,20060929,XOM,EXXON MOBIL CORP,20678,30231G10,67.10000,-0.005337
11850,20061002,XOM,EXXON MOBIL CORP,20678,30231G10,67.00000,-0.001490
11850,20061003,XOM,EXXON MOBIL CORP,20678,30231G10,65.41000,-0.023731
11850,20061004,XOM,EXXON MOBIL CORP,20678,30231G10,66.61000,0.018346
11850,20061005,XOM,EXXON MOBIL CORP,20678,30231G10,67.32000,0.010659
11850,20061006,XOM,EXXON MOBIL CORP,20678,30231G10,67.52000,0.002971
11850,20061009,XOM,EXXON MOBIL CORP,20678,30231G10,66.55000,-0.014366
11850,20061010,XOM,EXXON MOBIL CORP,20678,30231G10,67.20000,0.009767
11850,20061011,XOM,EXXON MOBIL CORP,20678,30231G10,66.53000,-0.009970
11850,20061012,XOM,EXXON MOBIL CORP,20678,30231G10,67.65000,0.016835
11850,20061013,XOM,EXXON MOBIL CORP,20678,30231G10,68.40000,0.011086
11850,20061016,XOM,EXXON MOBIL CORP,20678,30231G10,69.83000,0.020906
11850,20061017,XOM,EXXON MOBIL CORP,20678,30231G10,69.41000,-0.006015
11850,20061018,XOM,EXXON MOBIL CORP,20678,30231G10,69.17000,-0.003458
11850,20061019,XOM,EXXON MOBIL CORP,20678,30231G10,69.73000,0.008096
11850,20061020,XOM,EXXON MOBIL CORP,20678,30231G10,69.55000,-0.002581
11850,20061023,XOM,EXXON MOBIL CORP,20678,30231G10,69.92000,0.005320
11850,20061024,XOM,EXXON MOBIL CORP,20678,30231G10,69.89000,-0.000429
11850,20061025,XOM,EXXON MOBIL CORP,20678,30231G10,71.01000,0.016025
11850,20061026,XOM,EXXON MOBIL CORP,20678,30231G10,71.62000,0.008590
11850,20061027,XOM,EXXON MOBIL CORP,20678,30231G10,71.46000,-0.002234
11850,20061030,XOM,EXXON MOBIL CORP,20678,30231G10,70.84000,-0.008676
11850,20061031,XOM,EXXON MOBIL CORP,20678,30231G10,71.42000,0.008187
11850,20061101,XOM,EXXON MOBIL CORP,20678,30231G10,71.06000,-0.005041
11850,20061102,XOM,EXXON MOBIL CORP,20678,30231G10,71.19000,0.001830
11850,20061103,XOM,EXXON MOBIL CORP,20678,30231G10,72.15000,0.013485
11850,20061106,XOM,EXXON MOBIL CORP,20678,30231G10,72.91000,0.010534
11850,20061107,XOM,EXXON MOBIL CORP,20678,30231G10,72.53000,-0.005212
11850,20061108,XOM,EXXON MOBIL CORP,20678,30231G10,74.13000,0.022060
11850,20061109,XOM,EXXON MOBIL CORP,20678,30231G10,74.61000,0.010792
11850,20061110,XOM,EXXON MOBIL CORP,20678,30231G10,74.42000,-0.002547
11850,20061113,XOM,EXXON MOBIL CORP,20678,30231G10,74.43000,0.000134
11850,20061114,XOM,EXXON MOBIL CORP,20678,30231G10,74.45000,0.000269
11850,20061115,XOM,EXXON MOBIL CORP,20678,30231G10,74.80000,0.004701
11850,20061116,XOM,EXXON MOBIL CORP,20678,30231G10,72.67000,-0.028476
11850,20061117,XOM,EXXON MOBIL CORP,20678,30231G10,73.08000,0.005642
11850,20061120,XOM,EXXON MOBIL CORP,20678,30231G10,72.43000,-0.008894
11850,20061121,XOM,EXXON MOBIL CORP,20678,30231G10,73.39000,0.013254
11850,20061122,XOM,EXXON MOBIL CORP,20678,30231G10,72.91000,-0.006540
11850,20061124,XOM,EXXON MOBIL CORP,20678,30231G10,72.38000,-0.007269
11850,20061127,XOM,EXXON MOBIL CORP,20678,30231G10,72.47000,0.001243
11850,20061128,XOM,EXXON MOBIL CORP,20678,30231G10,74.16000,0.023320
11850,20061129,XOM,EXXON MOBIL CORP,20678,30231G10,76.03000,0.025216
